,index,Song,Performer,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,id,duration_ms,time_signature,Date,Year,Month,Year_f,preview_url,availability,popularity
0,0,Willie And The Hand Jive,The Johnny Otis Show,0.897,0.36700000000000005,-15.751,0.0577,0.0453,0.14300000000000002,0.9570000000000001,100.755,6ouc29xdKVscjfuqv7oDxN,164273,4,8/2/1958,1958,8,1958.5,https://p.scdn.co/mp3-preview/7b87d2e3ab232de2043f834b4a74d9bf94463221?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,0
1,1,Everybody Loves A Lover,Doris Day,0.8340000000000001,0.284,-13.497,0.102,0.657,0.0676,0.684,92.22399999999999,6QfGyzfwf7dm38Tmf49BpC,160467,4,8/2/1958,1958,8,1958.5,https://p.scdn.co/mp3-preview/90f11d4359cbc9c6020212097a8bcf65c7646bd4?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,32
2,2,Susie Darlin',Robin Luke,0.83,0.325,-13.681,0.0373,0.514,0.172,0.816,123.094,6fb0Yo4q22mmf0XCkIh2dO,153920,4,8/9/1958,1958,8,1958.5,https://p.scdn.co/mp3-preview/d57101bf4be2df5b2e4098c295950c24ebab5c39?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,11
3,3,Tic Toc,Lee Allen And His Band,0.82,0.6559999999999999,-9.867,0.0371,0.6829999999999999,0.172,0.9620000000000001,130.475,41Ac5hxbni9LZLLV8A9Doa,152573,4,9/27/1958,1958,9,1958.5,https://p.scdn.co/mp3-preview/462c50c555b4b4acf8169d8950bda824595fb669?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,0
4,4,Drip Drop,The Drifters,0.754,0.46299999999999997,-6.462999999999999,0.0731,0.7909999999999999,0.0965,0.9470000000000001,119.271,672bYvh0ygZMrUvRr6hN4P,152267,4,8/9/1958,1958,8,1958.5,https://p.scdn.co/mp3-preview/3b8285866a4d69f663573f333db942d10deb8d89?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,30
5,5,Dance Everyone Dance,Betty Madigan,0.752,0.613,-9.222999999999999,0.039,0.20800000000000002,0.409,0.922,130.679,2tkBw0h4j2H0czTykwtZic,144493,4,10/4/1958,1958,10,1958.5,https://p.scdn.co/mp3-preview/fc80be9093a68797de63cc503584ce28f045ad26?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,5
6,6,Problems,The Everly Brothers,0.738,0.43,-10.93,0.0346,0.764,0.0863,0.867,128.132,43kH6x0QP1z0Nv0aDkk0ab,121400,4,11/8/1958,1958,11,1958.5,https://p.scdn.co/mp3-preview/f8e5059ca13d483dabc010c90738d83169c546b8?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,14
7,7,I Got Stung,Elvis Presley,0.731,0.8320000000000001,-10.335999999999999,0.054000000000000006,0.9009999999999999,0.21899999999999997,0.9740000000000001,96.557,0IDFXLMABcj61OKI3L05A0,109413,4,11/1/1958,1958,11,1958.5,https://p.scdn.co/mp3-preview/c3a3c994bfaf83abfdafc198c5a92104359b13a6?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,38
8,8,Where The Blue Of The Night,Tommy Mara,0.731,0.434,-9.937000000000001,0.0257,0.59,0.0647,0.856,92.85,5e6FKIm1YQ8qYyRb9jCXiD,161107,4,8/16/1958,1958,8,1958.5,https://p.scdn.co/mp3-preview/603612fe90b44948389f0108ebd1a5c263bd0ff7?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,1
9,9,Blue Blue Day,Don Gibson,0.7290000000000001,0.486,-10.84,0.0299,0.794,0.192,0.978,100.161,0lgckCZ94ZjtCBpjfRL5Su,113240,4,8/2/1958,1958,8,1958.5,https://p.scdn.co/mp3-preview/32eb74d495bd0dad5e951eb9332e696f1069814a?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,40
10,10,Win Your Love For Me,Sam Cooke,0.7240000000000001,0.379,-13.495,0.0456,0.8079999999999999,0.187,0.8490000000000001,134.629,7ux55BPkC494PlmfGTDzWq,152067,4,8/2/1958,1958,8,1958.5,https://p.scdn.co/mp3-preview/c993934a7faefe4505367c195fe4420b58c0e1ac?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,25
11,11,Just Young,Andy Rose,0.716,0.514,-4.806,0.0317,0.872,0.28300000000000003,0.569,121.14299999999999,4IToGzGT3zcJWQN2c5J9cV,138107,4,10/4/1958,1958,10,1958.5,https://p.scdn.co/mp3-preview/0862e533ac0288fd1fe41a8d0fb5716997ccf173?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,0
12,12,Yakety Yak,The Coasters,0.715,0.669,-9.491,0.128,0.705,0.044000000000000004,0.976,120.789,7demHL0GXA6YmTNqw3Btz8,113040,4,8/2/1958,1958,8,1958.5,https://p.scdn.co/mp3-preview/979ed69d82eee4eb979a1d6644becaf9727a1e61?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,59
13,13,Happy Years,The Diamonds,0.7140000000000001,0.46399999999999997,-11.08,0.0514,0.9,0.10300000000000001,0.9209999999999999,124.553,15NPJtiKnH6vl1YTIBx9Mf,132280,4,8/2/1958,1958,8,1958.5,https://p.scdn.co/mp3-preview/6b3d2da489dbdfcd822d83516da0fbe3d06b4333?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1,1
